City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Paamiut,100,GL,1570164646,61,61.99,-49.67,43.46,7.54
Muroto,20,JP,1570164891,40,33.37,134.14,86.0,12.75
Santa Isabel,1,MX,1570164891,22,32.63,-115.58,80.6,17.22
Kiama,75,AU,1570164647,68,-34.67,150.86,66.99,12.75
Portland,90,US,1570164665,81,43.66,-70.25,48.99,3.36
Vernon,90,CA,1570164892,81,50.27,-119.27,50.0,5.82
Ancud,90,CL,1570164892,81,-41.87,-73.83,42.8,5.82
Isla Mujeres,75,MX,1570164893,100,21.23,-86.73,78.8,3.18
Saryozek,0,KZ,1570164893,27,44.36,77.98,64.18,7.23
Vila Velha,75,BR,1570164893,83,-3.71,-38.6,78.8,13.87
Ayni,97,TJ,1570164893,42,39.39,68.54,46.61,1.07
Grand-Santi,17,GF,1570164649,95,4.27,-54.38,69.64,1.79
Longyearbyen,75,NO,1570164894,96,78.22,15.63,32.0,2.24
Vorukh,2,KG,1570164894,37,39.85,70.57,62.15,7.49
Morant Bay,20,JM,1570164894,83,17.88,-76.41,82.4,11.41
Aukra,0,NO,1570164895,74,62.79,6.92,44.6,9.17
Kibaya,40,RW,1570164650,100,-2.2,30.56,60.8,5.19
Deputatskiy,100,RU,1570164895,83,69.3,139.9,17.6,25.41
Beihai,75,CN,1570164895,76,38.95,121.19,55.0,17.9
Maputo,0,MZ,1570164883,87,-25.97,32.57,60.8,6.93
Koshurnikovo,0,RU,1570164896,39,54.3,93.39,46.97,5.48
Qaqortoq,72,GL,1570164896,31,60.72,-46.03,50.0,16.11
Saint-Joseph,0,FR,1570164896,76,43.56,6.97,59.0,4.7
Griffith,33,AU,1570164897,26,-34.29,146.06,84.2,10.29
Maragheh,0,IR,1570164652,38,37.39,46.24,60.8,11.41
Ambilobe,24,MG,1570164897,42,-13.19,49.05,88.48,11.74
Puerto Madryn,94,AR,1570164628,47,-42.77,-65.04,51.53,15.99
Bjelovar,0,HR,1570164653,93,45.9,16.84,41.0,3.36
Zyryanka,98,RU,1570164653,41,65.73,150.89,30.32,9.44
Praia,0,BR,1570164898,46,-20.25,-43.81,69.8,9.17
Bougouni,73,ML,1570164898,90,11.42,-7.49,72.55,2.46
San,44,ML,1570164777,64,13.3,-4.9,79.54,8.72
Neosho,1,US,1570164654,87,43.31,-88.52,50.0,3.36
Husavik,0,CA,1570164899,80,50.56,-96.99,44.01,5.44
Malangwa,100,CD,1570164899,94,-2.84,17.57,73.51,3.11
Phetchaburi,20,TH,1570164899,70,13.1,99.94,87.8,6.93
Igarka,100,RU,1570164900,93,67.47,86.57,44.67,14.41
Taoudenni,1,ML,1570164900,13,22.68,-3.98,84.63,9.78
Kaeo,7,NZ,1570164656,77,-35.1,173.78,61.0,6.89
Turan,0,RU,1570164656,29,52.15,93.92,44.49,5.88
Kupang,0,ID,1570164900,74,-10.16,123.6,80.56,3.62
El Alto,75,BO,1570164901,86,-16.5,-68.19,41.0,6.93
Bonthe,89,SL,1570164901,88,7.53,-12.5,75.86,3.04
Namibe,24,AO,1570164901,75,-15.19,12.15,66.14,0.65
Longido,34,TZ,1570164902,65,-2.73,36.7,65.71,8.48
Puerto Leguizamo,99,CO,1570164902,99,-0.19,-74.78,68.56,0.56
Oron,100,NG,1570164902,93,4.81,8.23,72.62,1.5
Waipawa,0,NZ,1570164902,54,-39.94,176.59,57.0,8.99
Gorontalo,70,ID,1570164903,69,0.54,123.06,82.33,5.93
Tarut,32,SA,1570164903,70,26.57,50.06,91.4,4.7
Tamandare,97,BR,1570164659,92,-8.28,-70.75,71.98,3.2
Khorinsk,55,RU,1570164903,51,52.16,109.78,41.83,9.31
Barra Patuca,91,HN,1570164660,82,15.8,-84.28,82.13,10.67
Itanhaem,75,BR,1570164633,77,-24.18,-46.79,62.6,9.17
Grand Gaube,11,MU,1570164903,64,-20.01,57.66,73.0,3.0
Lewiston,90,US,1570164905,93,44.1,-70.21,48.99,2.39
Boa Vista,0,BR,1570164905,74,2.82,-60.67,80.6,6.93
Belaya Gora,100,RU,1570164905,49,68.54,146.19,28.34,20.4
Verkhozim,79,RU,1570164905,79,52.71,45.42,55.0,14.05
Darnah,2,LY,1570164906,40,32.77,22.64,83.41,40.06
Kysyl-Syr,98,RU,1570164906,93,63.9,122.77,32.88,5.95
San Giorgio Ionico,40,IT,1570164663,100,40.46,17.38,63.0,117.44
Yulin,51,CN,1570164907,44,38.3,109.75,61.64,17.98
Snezhnogorsk,75,RU,1570164907,73,69.19,33.23,32.0,4.47
Hobyo,40,SO,1570164907,60,5.35,48.53,85.01,6.98
Katherine,40,AU,1570164907,14,-14.47,132.26,96.8,16.11
Tarakan,40,ID,1570164908,88,3.3,117.63,80.6,5.82
Qasigiannguit,95,GL,1570164908,34,68.82,-51.19,48.2,19.46
Copiapo,0,CL,1570164908,76,-27.37,-70.33,53.6,6.93
Inhambane,20,MZ,1570164665,93,-23.87,35.38,64.4,5.5
Cruz das Almas,19,BR,1570164909,98,-12.67,-39.11,67.91,3.96
Brownsville,75,US,1570164909,88,25.91,-97.49,84.0,3.36
Belmonte,8,PT,1570164909,74,40.36,-7.35,57.0,2.77
Egvekinot,100,RU,1570164666,97,66.32,-179.17,26.49,6.06
Belyy Yar,0,RU,1570164910,56,53.6,91.39,42.8,2.24
Tivoli,0,IT,1570164910,71,41.96,12.8,59.0,8.05
Seminole,40,US,1570164617,93,32.72,-102.64,62.6,10.29
Havre de Grace,90,US,1570164910,100,39.55,-76.09,70.0,6.93
Manzanillo,59,MX,1570164856,75,19.05,-104.32,82.0,3.04
Fuerte Olimpo,16,BR,1570164911,62,-21.04,-57.87,73.16,5.06
Atbasar,64,KZ,1570164911,37,51.81,68.36,53.96,7.87
Karratha,0,AU,1570164911,17,-20.74,116.85,99.43,19.1
Tuatapere,100,NZ,1570164912,54,-46.13,167.69,61.0,15.01
Alugan,26,PH,1570164912,57,12.22,125.48,87.4,6.31
Kieta,98,PG,1570164912,80,-6.22,155.63,81.52,14.38
Taitung,40,TW,1570164669,74,22.76,121.15,86.0,9.17
Saint-Francois,90,FR,1570164669,81,46.42,3.91,48.2,6.93
Karymskoye,0,RU,1570164670,35,51.62,114.34,46.43,8.72
Latung,0,ID,1570164913,55,-8.45,120.42,85.75,7.67
Marienburg,100,DE,1570164913,93,52.12,9.98,50.0,2.24
Muli,35,CN,1570164914,39,28.08,109.56,90.23,3.42
Oksfjord,75,NO,1570164914,86,70.24,22.35,33.8,11.41
Isiro,98,CD,1570164914,95,2.77,27.62,70.9,1.48
Bintulu,75,MY,1570164671,100,3.17,113.03,73.4,6.93
Adrar,92,DZ,1570164915,19,27.87,-0.29,69.8,9.17
Coquimbo,0,CL,1570164915,76,-29.95,-71.34,51.8,3.36
Zeerust,0,ZA,1570164915,55,-25.54,26.07,60.8,8.05
Benguela,70,AO,1570164915,85,-12.58,13.4,70.55,7.29
Jertih,75,MY,1570164673,70,5.74,102.5,87.8,8.05
Oranjemund,0,ZA,1570164673,92,-28.55,16.43,57.07,13.22
Mocuba,99,MZ,1570164916,76,-16.84,36.99,73.04,3.04
Vasai,82,IN,1570164674,74,22.43,69.93,82.25,10.67
Auki,99,NG,1570164674,75,12.18,6.51,75.34,5.64
Yermakovskoye,5,RU,1570164917,39,53.28,92.4,49.39,3.89
Havoysund,40,NO,1570164917,72,71.0,24.66,35.6,6.93
Kathu,0,ZA,1570164917,12,-27.7,23.05,65.06,6.38
Champerico,75,MX,1570164918,78,16.38,-93.6,75.2,2.82
Roald,0,NO,1570164918,56,62.58,6.12,44.6,11.41
Kalemie,31,CD,1570164918,57,-5.95,29.2,76.06,9.37
Oranjestad,40,AW,1570164743,74,12.52,-70.03,84.2,16.11
Flin Flon,28,CA,1570164919,88,54.77,-101.88,36.84,5.46
Tigil,76,RU,1570164676,63,57.8,158.67,38.82,3.06
Minnedosa,90,CA,1570164677,75,50.25,-99.84,41.0,5.82
Hornepayne,27,CA,1570164919,96,49.22,-84.78,29.87,5.39
Mizdah,0,LY,1570164920,69,31.45,12.98,60.17,8.12
Axim,100,GH,1570164920,91,4.87,-2.24,76.49,8.05
Borgarnes,90,IS,1570164920,61,64.54,-21.92,48.2,17.22
Hambantota,20,LK,1570164678,79,6.12,81.12,86.0,4.7
Batesville,1,US,1570164921,64,35.77,-91.64,78.8,4.7
Bonavista,13,CA,1570164921,79,48.65,-53.11,39.99,13.0
Shurugwi,0,ZW,1570164921,57,-19.67,30.0,71.17,4.63
Sibolga,19,ID,1570164922,75,1.74,98.78,81.44,12.82
Obo,87,CF,1570164922,95,5.39,26.49,72.08,3.8
Mareeba,4,AU,1570164922,54,-16.99,145.42,82.99,20.8
Homer,1,US,1570164922,70,59.64,-151.54,46.4,4.7
La Ronge,20,CA,1570164923,70,55.1,-105.3,44.6,9.17
Noyabrsk,55,RU,1570164923,65,63.2,75.45,40.35,19.48
Chitral,96,PK,1570164923,85,35.85,71.79,32.92,7.2
Ribeira Brava,20,PT,1570164681,73,32.65,-17.07,71.6,10.29
Port Hardy,90,CA,1570164924,100,50.7,-127.42,48.2,3.36
Abadiania,0,BR,1570164900,31,-16.2,-48.71,75.2,6.93
Nouadhibou,5,MR,1570164924,69,20.93,-17.03,73.4,17.22
Baheri,0,IN,1570164682,74,28.77,79.5,82.4,2.24
Larap,0,PH,1570164683,67,14.3,122.65,83.46,6.69
Panaba,48,MX,1570164925,94,21.28,-88.27,77.48,0.98
Yenotayevka,0,RU,1570164925,40,47.24,47.04,67.33,16.28
Weyburn,17,CA,1570164836,91,49.67,-103.85,34.0,8.01
Kyzyl-Suu,100,KG,1570164926,52,42.34,78.0,54.95,1.41
Pitimbu,75,BR,1570164926,88,-7.47,-34.81,75.2,6.93
Lipin Bor,100,RU,1570164926,96,60.26,37.97,39.09,8.61
Escanaba,90,US,1570164927,87,45.75,-87.06,48.2,8.05
Gotsu,40,JP,1570164927,69,35.01,132.22,75.2,6.93
Thunder Bay,90,CA,1570164927,93,48.41,-89.26,39.2,3.36
Mwinilunga,68,ZM,1570164928,69,-11.73,24.43,67.3,10.6
Mao,40,DO,1570164686,100,19.55,-71.08,81.0,1.23
Montelimar,87,CR,1570164928,1,10.54,-84.57,72.0,1.83
Cockburn Town,100,TC,1570164928,75,21.46,-71.14,83.08,6.49
Sola,0,TZ,1570164929,52,-3.17,33.8,72.8,12.39
Wukari,100,NG,1570164687,91,7.87,9.78,73.7,3.44
Kitimat,90,CA,1570164687,93,54.02,-128.69,48.2,11.41
Lucapa,100,AO,1570164929,92,-8.42,20.74,69.17,3.11
San Roque,1,ES,1570164929,46,36.21,-5.38,71.6,13.87
Lazarev,0,RU,1570164930,36,52.23,141.51,45.03,3.29
Areosa,90,PT,1570164930,100,41.72,-8.86,62.6,1.12
Ahipara,0,NZ,1570164688,77,-35.17,173.16,60.01,11.25
Sistranda,20,NO,1570164931,69,63.73,8.83,37.4,13.87
Honningsvag,40,NO,1570164931,66,70.98,25.97,35.6,6.93
Gladstone,0,AU,1570164931,50,-23.84,151.26,80.01,12.75
Miandrivazo,0,MG,1570164931,39,-19.53,45.46,92.1,2.08
Zanesville,40,US,1570164932,82,39.94,-82.01,66.2,11.41
Lashio,27,MM,1570164932,46,22.93,97.75,87.15,3.71
Lakatoro,58,VU,1570164933,76,-16.11,167.42,78.98,15.12
Dandong,67,CN,1570164691,61,40.12,124.37,62.29,16.37
Eureka,1,US,1570164933,100,40.8,-124.16,52.0,4.7
Andra,36,RU,1570164691,67,62.52,65.89,39.9,14.36
Trinidad,47,BO,1570164933,79,-14.83,-64.9,68.39,2.19
Helena,40,US,1570164692,66,46.59,-112.04,48.2,3.13
Council Bluffs,1,US,1570164934,100,41.26,-95.86,50.0,4.7
